,_id,year,para,term
31178,4fc3bf6a45c1498b0d832c61,1955,"WASHINGTON, May 3--Secretary of State Dulles talked with the British and Australian Ambassadors today as efforts to arrange a Formosa Strait ceasefire gained momentum. ALLIES MAP A PATH TO FORMOSA TRUCE; ALLIES MAP A PATH TO FOMOSA TRUCE Dulles Consults With British and Australian Envoys-- President Gets Report",formosa
27848,4fc3ba1445c1498b0d819f40,1955,The House of Representatives voted 409 to 3 today to back President Eisenhower in any military action to safeguard Formosa from the Communists. HOUSE VOTES 409-3 TO BACK EISENHOWER ON FORMOSA; SENATE HEARS JOINT CHIEFS; UNITY ACCLAIMED President Hails Support for Any Military Steps -- Senators Cautious HOUSE VOTE BACKS FORMOSA DEFENSE,formosa
28963,4fc3bbe145c1498b0d822498,1956,"CAIRO, Aug. 30--President Gamal Abdel Nasser protested tonight against President Eisenhower's assertion that the Suez Canal was an international waterway. NASSER PROTESTS EISENHOWER VIEW ON STATUS OF SUEZ; Denies Convention of 1888 Internationalized Canal-- Cites Preamble as Proof DULLES CHIDED BY ENVOY Secretary Explains Stand-- U.S. Officials Disturbed by French Cyprus Move Nasser Issues Statement NASSER PROTESTS EISENHOWER VIEW Concern Is International",eisenhower
25948,4fc3b70945c1498b0d80bc39,1956,"WASHINGTON, June 7--The House of Representatives repudiated President Eisenhower and both its party leaderships today by refusing to cancel heavy cuts in the Administration's $4,900,000,000 foreign aid bill. LEADERS SNUBBED; Martin and Rayburn Fail to Win Backing for More Funds",eisenhower
26955,4fc3b8bb45c1498b0d81322f,1956,"WASHINGTON, April 15--President Eisenhower is expected to sign or veto the farm bill tomorrow and go on the air tomorrow night to explain his action. These apparent decisions ... President Expected to Act On Farm Measure Today; FARM BILL ACTION EXPECTED TODAY G.O.P. Parley Opens Today",eisenhower
19742,4fc3ac9a45c1498b0d7dae26,1953,The fighting dwindled almost to a standstill along the frozen Korean front yesterday. The Communist offensive that the Reds' propaganda sources had threat ened for Jan. 4 did not develop. West Korea Front Is Silent; U.N. Fliers Batter Red Areas; WEST KOREA FRONT SILENT FOR 2 DAYS,korean
13335,4fc3a11a45c1498b0d7a7235,1953,The United States challenged the Soviet world today to accept an on-the-spot investigation to confirm or disprove charges of Communist atrocities in the Korean war. ATROCITY INQUIRY PRESSED ON SOVIET; Lodge Replies to Vishinsky's Thrust at U. S. Charges With Call to Permit Survey,korean
12825,4fc3a03b45c1498b0d7a31d8,1953,The United Nations and Communist commands completed the exchange of the third group of sick and wounded prisoners of the Korean war today while former captives of both sides made charges of having suffered ill treatment while in internment. More Prisoners Exchanged; 14 G. I's Due in Next Group; CAPTIVE EXCHANGE ADVANCES IN KOREA,korean
7425,4fc3964b45c1498b0d773c6d,1951,"TOKYO, Wednesday, Feb. 7--Chinese Communist troops on the western Korean front pulled back five and one-half miles to new defense positions in the hills six miles below the Han River and the old Korean Republican capital of Seoul as United Nations armored task forces for the second day yesterday probed deeply into enemy advance positions below the city's southern outskirts. Reds Draw Back 5  Miles To New Seoul Defense Line; UNITED NATIONS FORCES ADVANCING TOWARD THE SOUTH KOREAN CAPITAL",korea
4577,4fc31c2245c1498b0d759542,1951,"WASHINGTON, Aprl 18--The Department of Defense, proposing a long-range civilian Reserve program to provide ""realistic security"" for the nation, disclosed today that the fighting forces in June would start releasing Reservists called up to meet emergency needs as a result of the Korean war. RESERVE RELEASES WILL START JUNE; DRAFT CUT FOR MAY; Army Begins Freeing Recalled Troops in Fall--House Unit Told of Long-Range Plan 3 CLASSES TO BE SET UP Inductee Quota Put at 40,000 Because of More Volunteering and Lighter Casualties Marine Corps to Act First RESERVE RELEASES TO START IN JUNE Designation Is Protested Implementing Bills Planned ""Almost Insuperable Handicap""",korea
8519,4fc3986d45c1498b0d77db72,1951,"TOKYO, Tuesday, Nov. 6 The United Nations proposed yesterday a new plan for negotiation of an armistice in the Korean war. U.N. Seeks to Waive Issue; NAVY STOWAWAYS AT THE FRONT IN KOREA",korea
31906,4fc3c08245c1498b0d83817f,1956,"David Dubinsky, president of the International Ladies Garment Workers Union, urged Governor Harriman yesterday to give up his aspirations for the Democratic Presidential nomination. HARRIMAN URGED TO QUIT '56 RACE; Dubinsky Calls on Governor to Support Stevenson and Seek Liberal Platform HARRIMAN URGED TO QUIT '56 RACE Liberal Platform Urged",stevenson
27131,4fc3b8f845c1498b0d814c60,1956,"Top unionists, who had resigned themselves to a back seat in the Presidential campaign, are now considering a more active mobilization of their political strength. UNIONS NOW PLAN POLITICAL ACTION; Stevenson's California Gains and Eisenhower's Illness Alter Endorsement Policy Unions Planning Political Action; See Chance of Republican Defeat",stevenson
24401,4fc3b49345c1498b0d800374,1956,"WALNUT MILL, Va., Sept. 15 --Adlai E. Stevenson charged tonight that the Eisenhower Administration had played ""fast and loose"" with the Constitution's Bill of Rights. STEVENSON CALLS G.O.P. 'SHAMELESS' IN LOYALTY SET-UP; Asserts Administration Plan Played 'Fast and Loose' With the Bill of Rights OPENS DRIVE IN VIRGINIA Declares Public Was Misled by 'Political Trickery' of 'Numbers Game' on Risks Pledges Revised Program STEVENSON SCORES G.O.P. 'RISK' SET-UP Greeted As Neighbors",stevenson
